,Unnamed: 0.1,Unnamed: 0,name,title_english,title_japanese,type,source,producers,genre,studio,episodes,duration,rating,score,scored_by,rank,popularity,favorites,broadcast,premiered_season,premiered_year
611,746,1576,Sumeba Miyako no Cosmos-sou Suttoko Taisen Dokkoida,Dokkoida?!,住めば都のコスモス荘 すっとこ大戦ドッコイダー,TV,Light novel,Media Factory,Adventure,ufotable,12.0,24 min per ep,PG - Children,6.9,1541.0,4032.0,5572.0,15.0,Unknown,Summer,2003
612,747,1579,Zero no Tsukaima: Futatsuki no Kishi,The Familiar of Zero: Knight of the Twin Moons,ゼロの使い魔 ～双月の騎士～,TV,Light novel,Genco,Ecchi,J.C.Staff,12.0,24 min per ep,PG-13 - Teens 13 or older,7.64,208919.0,1278.0,220.0,1234.0,Mondays at Unknown,Summer,2007
613,748,1583,Clamp Gakuen Tanteidan,CLAMP School Detectives,CLAMP学園探偵団,TV,Manga,Bandai Visual,Comedy,Studio Pierrot,26.0,24 min per ep,G - All Ages,7.0,3440.0,3665.0,4041.0,26.0,Unknown,Spring,1997
614,749,1585,Princess Nine: Kisaragi Joshikou Yakyuubu,Princess Nine,プリンセスナイン 如月女子高野球部,TV,Original,NHK,Romance,Phoenix Entertainment,26.0,25 min per ep,PG-13 - Teens 13 or older,7.24,2556.0,2714.0,4438.0,37.0,Wednesdays at 18:00 (JST),Spring,1998
615,751,1591,Hidamari Sketch,Hidamari Sketch,ひだまりスケッチ,TV,4-koma manga,Aniplex,Comedy,Shaft,12.0,24 min per ep,PG-13 - Teens 13 or older,7.47,18631.0,1767.0,1558.0,763.0,Fridays at 01:25 (JST),Winter,2007
618,758,1615,Himesama Goyoujin,Princess Beware,姫様ご用心,TV,Original,Bandai Visual,Comedy,Nomad,12.0,24 min per ep,G - All Ages,6.4,644.0,6190.0,7497.0,2.0,Unknown,Spring,2006
621,761,1628,Zettai Muteki Raijin-Oh,Zettai Muteki Raijin-Oh,絶対無敵ライジンオー,TV,Original,Toshiba EMI,Adventure,Sunrise,51.0,24 min per ep,G - All Ages,6.96,244.0,3825.0,8933.0,6.0,Wednesdays at 18:00 (JST),Spring,1991
622,762,1630,Masou Kishin Cybuster,Cybuster,魔装機神サイバスター,TV,Unknown,TV Tokyo,Adventure,Production Reed,26.0,24 min per ep,PG-13 - Teens 13 or older,6.2,560.0,7035.0,7465.0,2.0,Mondays at 18:30 (JST),Spring,1999
623,763,1645,Saiunkoku Monogatari 2nd Season,Tales of Saiunkoku,彩雲国物語 第2シリーズ,TV,Light novel,NHK,Adventure,Madhouse,39.0,25 min per ep,PG-13 - Teens 13 or older,8.16,12450.0,370.0,2359.0,206.0,Unknown,Spring,2007
624,764,1646,Mahou Shoujo Lyrical Nanoha StrikerS,Magical Girl Lyrical Nanoha StrikerS,魔法少女リリカルなのはStrikerS,TV,Original,Geneon Universal Entertainment,Drama,Seven Arcs,26.0,25 min per ep,PG-13 - Teens 13 or older,7.7,20589.0,1112.0,1892.0,581.0,Unknown,Spring,2007
628,769,1679,Ikkitousen: Dragon Destiny,Ikkitousen: Dragon Destiny,一騎当千 Dragon Destiny,TV,Manga,Genco,Action,Arms,12.0,24 min per ep,R+ - Mild Nudity,6.9,28461.0,4012.0,1523.0,124.0,Mondays at 10:30 (JST),Winter,2007
629,770,1684,Chikyuu Bouei Kazoku,The Daichis: Earth's Defence Family,地球防衛家族,TV,Original,Bandai Visual,Action,Group TAC,13.0,23 min per ep,PG-13 - Teens 13 or older,6.65,297.0,5100.0,8645.0,3.0,Tuesdays at 18:30 (JST),Winter,2001
630,772,1692,Glass no Kamen (2005),Glass Mask,ガラスの仮面 (2005),TV,Manga,TMS Entertainment,Drama,Tokyo Movie Shinsha,51.0,25 min per ep,G - All Ages,8.17,7798.0,357.0,2629.0,391.0,Unknown,Spring,2005
631,775,1712,Tengen Toppa Gurren Lagann,Gurren Lagann,天元突破グレンラガン,TV,Original,TV Tokyo,Sci-Fi,Gainax,27.0,24 min per ep,PG-13 - Teens 13 or older,8.72,490692.0,42.0,25.0,54079.0,Sundays at 08:30 (JST),Spring,2007
633,777,1721,Taiho Shichau zo Special,You're Under Arrest Mini Specials,逮捕しちゃうぞ Special,TV,Manga,TBS,Comedy,Studio Deen,20.0,8 min per ep,PG-13 - Teens 13 or older,7.15,1430.0,3100.0,5880.0,3.0,Unknown,Spring,1999
635,779,1735,Darker than Black: Kuro no Keiyakusha,Darker than Black,Darker than BLACK -黒の契約者-,TV,Original,Aniplex,Mystery,Bones,25.0,24 min per ep,R - 17+ (violence & profanity),8.19,301033.0,331.0,69.0,14744.0,Fridays at Unknown,Spring,2007
636,780,1736,Hayate no Gotoku!,Hayate the Combat Butler,ハヤテのごとく！,TV,Manga,TV Tokyo,Shounen,SynergySP,52.0,24 min per ep,PG-13 - Teens 13 or older,7.68,67861.0,1154.0,570.0,1607.0,Unknown,Spring,2007
637,781,1740,El Cazador de la Bruja,El Cazador de la Bruja,エル・カザド,TV,Original,Victor Entertainment,Adventure,Bee Train,26.0,24 min per ep,PG-13 - Teens 13 or older,7.29,13275.0,2503.0,1971.0,223.0,Tuesdays at 01:30 (JST),Spring,2007
638,782,1741,Shining Tears X Wind,Shining Tears X Wind,シャイニング・ティアーズ・クロス・ウィンド,TV,Game,Sega,Adventure,Studio Deen,13.0,24 min per ep,PG-13 - Teens 13 or older,6.59,10213.0,5413.0,2413.0,69.0,Saturdays at 01:30 (JST),Spring,2007
640,786,1754,Mahou no Tenshi Creamy Mami,Magical Angel Creamy Mami,魔法の天使 クリィミーマミ,TV,Original,Kodansha,Comedy,Studio Pierrot,52.0,24 min per ep,G - All Ages,7.19,1859.0,2906.0,4478.0,96.0,Unknown,Summer,1983
641,787,1799,Choujikuu Seiki Orguss,The Super Dimension Century Orguss,超時空世紀オーガス,TV,Original,Tokyo Movie Shinsha,Action,Artland,35.0,25 min per ep,PG-13 - Teens 13 or older,6.66,751.0,5046.0,6119.0,10.0,Unknown,Summer,1983
642,788,1812,Seto no Hanayome,My Bride is a Mermaid,瀬戸の花嫁,TV,Manga,TV Tokyo,School,Gonzo,26.0,24 min per ep,PG-13 - Teens 13 or older,7.87,96001.0,775.0,395.0,2651.0,Unknown,Spring,2007
643,789,1815,Rockman.EXE Axess,MegaMan: Axess,ロックマンエグゼ Axess,TV,Unknown,TV Tokyo,Sci-Fi,Xebec,51.0,24 min per ep,PG - Children,7.23,5779.0,2746.0,3692.0,44.0,Unknown,Fall,2003
644,790,1834,True Tears,True Tears,true tears,TV,Original,Bandai Visual,School,P.A. Works,13.0,24 min per ep,PG-13 - Teens 13 or older,7.46,75142.0,1822.0,624.0,845.0,Sundays at 01:00 (JST),Winter,2008
645,791,1835,Kaibutsu Oujo,Princess Resurrection,怪物王女,TV,Manga,Imagin,Action,Madhouse,25.0,24 min per ep,PG-13 - Teens 13 or older,7.1,20406.0,3289.0,1533.0,192.0,Unknown,Spring,2007
646,793,1854,Oh! Edo Rocket,Oh! Edo Rocket,大江戸ロケット,TV,Other,Sunny Side Up,Drama,Madhouse,26.0,24 min per ep,PG-13 - Teens 13 or older,7.3,3271.0,2483.0,4030.0,28.0,Unknown,Spring,2007
648,795,1864,Dennou Coil,Den-noh Coil,電脳コイル,TV,Original,Bandai Visual,Mystery,Madhouse,26.0,25 min per ep,G - All Ages,8.13,30668.0,401.0,948.0,1418.0,Unknown,Spring,2007
649,796,1866,Doujin Work,Dojin Work,ドージンワーク,TV,4-koma manga,m.o.e.,Comedy,Remic,12.0,13 min per ep,PG-13 - Teens 13 or older,6.85,11213.0,4198.0,2678.0,39.0,Wednesdays at 01:30 (JST),Summer,2007
650,797,1867,Clannad,Clannad,CLANNAD,TV,Visual novel,Pony Canyon,Slice of Life,Kyoto Animation,23.0,24 min per ep,PG-13 - Teens 13 or older,8.19,450741.0,330.0,38.0,23877.0,Fridays at 01:55 (JST),Fall,2007
653,800,1903,Black Jack (TV),black Jack,ブラックジャック,TV,Manga,Yomiuri Telecasting,Drama,Tezuka Productions,61.0,25 min per ep,PG-13 - Teens 13 or older,7.69,6812.0,1127.0,2786.0,155.0,Mondays at 19:00 (JST),Fall,2004
654,802,1911,Dr. Slump: Arale-chan,Dr. Slump Arale,Dr.スランプ・アラレちゃん,TV,Manga,Fuji TV,Comedy,Toei Animation,243.0,25 min per ep,PG-13 - Teens 13 or older,7.24,2614.0,2696.0,4287.0,40.0,Wednesdays at 19:00 (JST),Spring,1981
655,804,1915,Mori no Tonto-tachi,Forests in the forest,森のトントたち,TV,Unknown,Fuji TV,Kids,Nippon Animation,23.0,25 min per ep,G - All Ages,6.17,139.0,7158.0,10656.0,0.0,Unknown,Fall,1984
657,812,1933,Mononoke,Mononoke,モノノ怪,TV,Original,Fuji TV,Fantasy,Toei Animation,12.0,22 min per ep,R - 17+ (violence & profanity),8.44,40757.0,142.0,675.0,4026.0,Unknown,Summer,2007
659,814,1938,Devilman,Devilman,デビルマン,TV,Manga,Dynamic Planning,Supernatural,Toei Animation,39.0,25 min per ep,R - 17+ (violence & profanity),6.45,2553.0,5980.0,3527.0,56.0,Unknown,Summer,1972
660,815,1939,Mazinger Z,Mazinger Z,マジンガーＺ,TV,Manga,Dynamic Planning,Sci-Fi,Toei Animation,92.0,25 min per ep,PG-13 - Teens 13 or older,7.41,3124.0,2021.0,4122.0,80.0,Sundays at 19:00 (JST),Winter,1973
663,820,1966,Transformers: Car Robots,Transformers: Robots in Disguise,トランスフォーマー・カーロボット,TV,Unknown,TV Tokyo,Adventure,Studio Gallop,39.0,21 min per ep,PG - Children,6.65,1636.0,5139.0,6306.0,13.0,Unknown,Spring,2000
666,826,2001,Uchuu Densetsu Ulysses 31,Ulysses 31,宇宙伝説ユリシーズ31,TV,Original,Tokyo Movie Shinsha,Action,TMS Entertainment,26.0,25 min per ep,G - All Ages,7.15,1421.0,3103.0,6209.0,21.0,Unknown,Fall,1981
667,827,2003,Anime Sanjuushi,The Three Musketeers,アニメ三銃士,TV,Novel,NHK,Romance,Studio Gallop,52.0,28 min per ep,G - All Ages,7.22,1054.0,2761.0,6510.0,20.0,Unknown,Fall,1987
671,833,2033,Rental Magica,Rental Magica,レンタルマギカ,TV,Light novel,Kadokawa Shoten,Fantasy,Zexcs,24.0,24 min per ep,PG-13 - Teens 13 or older,7.12,16185.0,3215.0,1722.0,108.0,Mondays at 00:00 (JST),Fall,2007
673,835,2046,Cybersix,Cybersix,サイバーシックス,TV,Other,Tokyo Movie Shinsha,Sci-Fi,Telecom Animation Film,13.0,23 min per ep,PG-13 - Teens 13 or older,7.32,2094.0,2377.0,5200.0,42.0,Mondays at 20:30 (JST),Fall,1999
674,837,2053,Hoshi no Kirby,Kirby: Right Back at Ya!,星のカービィ,TV,Game,CBC,Comedy,Studio Sign,100.0,24 min per ep,PG - Children,6.76,6959.0,4620.0,3244.0,153.0,Saturdays at 19:30 (JST),Fall,2001
676,840,2064,Ashita no Joe,Tomorrow's Joe,あしたのジョー,TV,Manga,Fuji TV,Drama,Mushi Production,79.0,25 min per ep,PG-13 - Teens 13 or older,8.31,7403.0,232.0,2084.0,884.0,Wednesdays at 19:00 (JST),Spring,1970
677,841,2065,Kodomo no Jikan (TV),Children's Jikan,こどものじかん,TV,Manga,Bandai Visual,School,Diomedea,12.0,24 min per ep,R - 17+ (violence & profanity),6.99,39890.0,3702.0,1118.0,485.0,Unknown,Fall,2007
678,842,2066,Zombie-Loan,Zombie-Loan,ZOMBIE-LOAN ゾンビローン,TV,Manga,Nihon Ad Systems,Shounen,Xebec,11.0,23 min per ep,R - 17+ (violence & profanity),6.99,51548.0,3721.0,883.0,371.0,Unknown,Summer,2007
680,845,2078,Grander Musashi RV,Grander Musashi RV,グランダー武蔵ＲＶ,TV,Unknown,Shogakukan Productions,Sports,Nippon Animation,39.0,25 min per ep,PG-13 - Teens 13 or older,7.15,599.0,3074.0,8209.0,9.0,Unknown,Spring,1998
681,846,2111,Space Cobra,Space Adventure Cobra,スペースコブラ,TV,Manga,Fuji TV,Sci-Fi,Tokyo Movie Shinsha,31.0,24 min per ep,R+ - Mild Nudity,7.8,3579.0,900.0,3797.0,158.0,Unknown,Fall,1982
682,848,2129,Doraemon (1979),Doraemon,ドラえもん,TV,Manga,TV Asahi,Adventure,Shin-Ei Animation,1787.0,11 min per ep,PG - Children,7.73,8781.0,1033.0,2733.0,235.0,Unknown,Winter,1979
683,849,2133,School Days,School Days,スクールデイズ,TV,Visual novel,Avex Entertainment,Drama,TNK,12.0,25 min per ep,R+ - Mild Nudity,5.98,235975.0,7774.0,158.0,2550.0,Wednesdays at 02:15 (JST),Summer,2007
685,851,2141,Onegai My Melody,Onegai My Melody,おねがいマイメロディ,TV,Unknown,TV Osaka,Comedy,Studio Comet,52.0,24 min per ep,PG - Children,7.14,1460.0,3128.0,5224.0,40.0,Sundays at 09:30 (JST),Spring,2005
686,852,2145,Chance Triangle Session,Chance triangle session,チャンス　トライアングルセッション,TV,Radio,Avex Entertainment,Slice of Life,Madhouse,13.0,24 min per ep,PG-13 - Teens 13 or older,6.68,1298.0,4957.0,5877.0,13.0,Unknown,Spring,2001
687,853,2149,Papuwa,Papwa,パプワ,TV,Manga,Sotsu,Comedy,Nippon Animation,26.0,25 min per ep,R+ - Mild Nudity,6.96,321.0,3813.0,8466.0,13.0,Tuesdays at 18:00 (JST),Fall,2003
688,854,2150,Nangoku Shounen Papuwa-kun,Tropical Shonen Papwa -kun,南国少年パプワくん,TV,Manga,TV Asahi,Comedy,Nippon Animation,42.0,25 min per ep,PG-13 - Teens 13 or older,6.43,85.0,6075.0,9888.0,0.0,Saturdays at 19:30 (JST),Fall,1992
689,855,2153,Genshiken 2,Genshiken 2,げんしけん2,TV,Manga,Genco,Slice of Life,Arms,12.0,24 min per ep,R - 17+ (violence & profanity),7.82,36182.0,861.0,1402.0,193.0,Unknown,Fall,2007
690,856,2154,Sengoku Majin Goushougun,Macron 1,戦国魔神ゴーショーグン,TV,Original,TV Tokyo,Action,Production Reed,26.0,24 min per ep,PG-13 - Teens 13 or older,6.79,299.0,4487.0,8067.0,0.0,Unknown,Summer,1981
691,857,2162,Masuda Kousuke Gekijou Gag Manga Biyori 2,Masuda Kosuke Theater Gag Manga Weather 2,増田こうすけ劇場 ギャグマンガ日和2,TV,Manga,Bandai Visual,Comedy,Artland,12.0,5 min per ep,PG-13 - Teens 13 or older,7.39,961.0,2110.0,7007.0,2.0,Unknown,Summer,2006
694,867,2191,Perrine Monogatari,Peline story,ペリーヌ物語,TV,Novel,Bandai Visual,Drama,Nippon Animation,53.0,25 min per ep,G - All Ages,7.6,618.0,1373.0,6595.0,12.0,Sundays at 19:30 (JST),Winter,1978
696,871,2197,Shoukoushi Cedie,Little Lord Fauntleroy,小公子セディ,TV,Novel,Fuji TV,Slice of Life,Nippon Animation,43.0,24 min per ep,G - All Ages,7.48,843.0,1752.0,7028.0,12.0,Sundays at 19:30 (JST),Winter,1988
699,878,2206,Code-E,CODE-E,CODE-E,TV,Original,Nagoya Broadcasting Network,School,Studio Deen,12.0,24 min per ep,G - All Ages,6.48,6032.0,5858.0,3413.0,19.0,Unknown,Summer,2007
703,896,2236,D.C.II: Da Capo II,D.C.II ~ Da Capo II-,D.C.II ～ダ・カーポII～,TV,Visual novel,Starchild Records,Ecchi,feel.,13.0,25 min per ep,PG-13 - Teens 13 or older,7.0,13291.0,3667.0,2331.0,43.0,Unknown,Fall,2007
704,897,2237,Shinreigari: Ghost Hound,Ghost Hound,神霊狩 GHOST HOUND,TV,Original,WOWOW,Supernatural,Production I.G,22.0,25 min per ep,PG-13 - Teens 13 or older,7.53,31669.0,1584.0,967.0,638.0,Unknown,Fall,2007
705,898,2239,Juusenki L-Gaim,Heavy weapon Elgain,重戦機エルガイム,TV,Original,Sotsu,Adventure,Sunrise,54.0,24 min per ep,PG-13 - Teens 13 or older,6.8,567.0,4425.0,6226.0,11.0,Unknown,Winter,1984
706,899,2243,Kenkou Zenrakei Suieibu Umishou,Kenko naked swimming club Umi Show,ケンコー全裸系水泳部 ウミショー,TV,Manga,Geneon Universal Entertainment,Sports,Artland,13.0,25 min per ep,PG-13 - Teens 13 or older,7.21,13848.0,2820.0,2281.0,87.0,Unknown,Summer,2007
707,900,2244,Mushi-Uta,Mushi-Uta,ムシウタ,TV,Light novel,WOWOW,Sci-Fi,Zexcs,12.0,24 min per ep,PG-13 - Teens 13 or older,6.73,5389.0,4771.0,3494.0,31.0,Unknown,Summer,2007
708,901,2245,Sky Girls,Sky Girls,スカイガールズ,TV,Original,Konami,Sci-Fi,J.C.Staff,26.0,24 min per ep,PG-13 - Teens 13 or older,7.08,7269.0,3368.0,2911.0,46.0,Unknown,Summer,2007
709,902,2246,Sayonara Zetsubou Sensei,"Sayonara, Zetsubou-Sensei",さよなら絶望先生,TV,Manga,Starchild Records,Shounen,Shaft,12.0,24 min per ep,R - 17+ (violence & profanity),7.97,91607.0,605.0,368.0,4045.0,Unknown,Summer,2007
710,903,2249,Wangan Midnight,Gulf Midnight,湾岸ミッドナイト,TV,Manga,OB Planning,Sports,A.C.G.T.,26.0,25 min per ep,PG-13 - Teens 13 or older,7.49,6430.0,1718.0,3194.0,193.0,Unknown,Summer,2007
711,905,2253,Spoon Oba-san,Spoon Oba-san,スプーンおばさん,TV,Novel,Gakken,Kids,Studio Pierrot,130.0,10 min per ep,PG - Children,6.77,542.0,4578.0,8351.0,2.0,Unknown,Spring,1983
713,908,2260,Spider Riders: Oracle no Yuusha-tachi,Spider Riders,スパイダーライダーズ ～オラクルの勇者たち～,TV,Novel,TV Tokyo,Adventure,Bee Train,26.0,23 min per ep,PG - Children,6.69,2234.0,4942.0,5169.0,19.0,Unknown,Spring,2006
714,910,2265,"Flanders no Inu, Boku no Patrasche",A Dog of Flanders: My Patrasche,フランダースの犬　～ぼくのパトラッシュ～,TV,Novel,Tokyo Movie Shinsha,Drama,TMS Entertainment,26.0,25 min per ep,G - All Ages,7.22,320.0,2776.0,8498.0,2.0,Unknown,Fall,1992
715,914,2326,Gokuu no Daibouken,Adventures of the Monkey King,悟空の大冒険,TV,Unknown,Fuji TV,Comedy,Mushi Production,39.0,25 min per ep,G - All Ages,6.43,91.0,6060.0,10447.0,2.0,Unknown,Winter,1967
716,915,2327,Akai Koudan Zillion,Zillion,赤い光弾ジリオン,TV,Game,Victor Entertainment,Action,Production I.G,31.0,24 min per ep,PG-13 - Teens 13 or older,6.7,676.0,4867.0,6529.0,13.0,Unknown,Spring,1987
718,917,2337,Uchuu Kaizoku Mito no Daibouken,Space Pirate Mito,宇宙海賊ミトの大冒険,TV,Unknown,Bandai Visual,Action,Genco,13.0,24 min per ep,PG-13 - Teens 13 or older,6.55,434.0,5604.0,8055.0,3.0,Tuesdays at 01:15 (JST),Winter,1999
719,920,2341,Chousoku Spinner,Super YoYo,超速スピナー,TV,Manga,Shogakukan Productions,Shounen,Xebec,22.0,23 min per ep,G - All Ages,6.77,1349.0,4539.0,6576.0,11.0,Unknown,Fall,1998
721,924,2345,Majime ni Fumajime Kaiketsu Zorori,"Seriously, seriously kaiketsuzorori",まじめにふまじめ　かいけつゾロリ,TV,Unknown,Nagoya Broadcasting Network,Adventure,Ajia-Do,97.0,24 min per ep,PG - Children,6.97,184.0,3776.0,9672.0,3.0,Unknown,Winter,2005
722,927,2353,Urayasu Tekkin Kazoku,Urayasu reinforcement family,浦安鉄筋家族,TV,Unknown,TBS,Comedy,Studio Deen,33.0,7 min per ep,R - 17+ (violence & profanity),7.08,381.0,3370.0,8384.0,9.0,Unknown,Summer,1998
723,930,2356,MapleStory,Maple story,メイプルストーリー,TV,Game,TV Tokyo,Comedy,Madhouse,25.0,25 min per ep,PG - Children,5.44,971.0,9042.0,5855.0,4.0,Unknown,Fall,2007
725,933,2370,Mugen Senki Portriss,Infinite Senki Potris,無限戦記ポトリス,TV,Unknown,TV Tokyo,Action,Sunrise,52.0,25 min per ep,PG - Children,5.61,31.0,12106.0,11410.0,0.0,Unknown,Spring,2003
726,934,2371,Mojakou,Moja,モジャ公,TV,Unknown,TV Tokyo,Sci-Fi,OLM,74.0,25 min per ep,G - All Ages,7.26,805.0,2635.0,7882.0,10.0,Tuesdays at 18:30 (JST),Fall,1995
727,935,2373,Kasumin 3rd Season,Kasmin (3rd series),カスミン (第3シリーズ),TV,Unknown,NHK,Fantasy,OLM,26.0,25 min per ep,PG - Children,6.26,65.0,6804.0,10831.0,3.0,Unknown,Spring,2003
728,937,2376,Monkey Turn V,Monkey Turn V,モンキー ターン V,TV,Manga,AIC,Sports,OLM,25.0,24 min per ep,PG-13 - Teens 13 or older,6.56,66.0,5542.0,10672.0,0.0,Unknown,Summer,2004
729,938,2377,Omoikkiri Kagaku Adventure Sou Nanda!,Full-Blast Science Adventure: So That's How It Is!,おもいっきり科学アドベンチャー そーなんだ!,TV,Unknown,TV Tokyo,Comedy,OLM,26.0,20 min per ep,None,5.84,31.0,12364.0,11234.0,0.0,Unknown,Fall,2003
730,939,2379,Potemayo,Potemayo,ぽてまよ,TV,4-koma manga,Lantis,School,J.C.Staff,12.0,24 min per ep,PG-13 - Teens 13 or older,7.35,5274.0,2280.0,3518.0,63.0,Unknown,Summer,2007
731,940,2382,Tetsuwan Atom,Astro Boy,鉄腕アトム,TV,Manga,Meiji Seika,Sci-Fi,Mushi Production,193.0,26 min per ep,PG - Children,7.24,1875.0,2721.0,4543.0,31.0,Saturdays at 19:00 (JST),Winter,1963
732,942,2384,Heisei Inu Monogatari Bow,Heisei Period Dog Tale Bow,平成イヌ物語バウ,TV,Original,Daiichikosho,Adventure,Nippon Animation,40.0,25 min per ep,G - All Ages,6.84,213.0,4248.0,9727.0,2.0,Unknown,Fall,1993
733,944,2393,Shippuu! Iron Leaguer,Greek!Iron Leaguer,疾風！ アイアンリーガー,TV,Original,TV Tokyo,Sports,Sunrise,52.0,24 min per ep,PG-13 - Teens 13 or older,7.16,175.0,3056.0,9470.0,12.0,Tuesdays at 18:00 (JST),Spring,1993
734,945,2397,Igano Kabamaru,Igano Kaba Maru,伊賀野カバ丸,TV,Manga,Toho,Action,Group TAC,24.0,23 min per ep,PG-13 - Teens 13 or older,8.03,2816.0,529.0,4602.0,102.0,Thursdays at 19:00 (JST),Fall,1983
735,946,2399,Super Doll Licca-chan,Super Doll Rika -chan,スーパードール リカちゃん,TV,Unknown,TV Tokyo,Comedy,Madhouse,52.0,25 min per ep,G - All Ages,6.63,872.0,5234.0,6880.0,2.0,Tuesdays at 18:30 (JST),Fall,1998
736,947,2402,Galactic Patrol Lensman,Galactic Patrol Lensman,GALACTIC PATROL　レンズマン,TV,Unknown,Tatsunoko Production,Sci-Fi,Madhouse,25.0,25 min per ep,PG-13 - Teens 13 or older,6.47,133.0,5907.0,9262.0,1.0,Unknown,Fall,1984
737,949,2405,Juushin Enbu: Hero Tales,Hero Tales,獣神演武 - HERO TALES -,TV,Manga,Square Enix,Shounen,Studio Flag,26.0,24 min per ep,PG-13 - Teens 13 or older,6.93,7464.0,3911.0,2862.0,38.0,Unknown,Fall,2007
738,950,2412,Saint Luminous Jogakuin,St. Luminous Mission High School,聖ルミナス女学院,TV,Original,Genco,Supernatural,Triangle Staff,13.0,24 min per ep,PG-13 - Teens 13 or older,6.13,579.0,7309.0,7247.0,4.0,Tuesdays at 01:15 (JST),Fall,1998
739,952,2417,Bakegyamon,Monster door,妖逆門,TV,Manga,TV Tokyo,Action,Radix,51.0,25 min per ep,PG - Children,6.76,416.0,4600.0,7344.0,13.0,Mondays at 18:00 (JST),Spring,2006
740,953,2418,Shakugan no Shana II (Second),Shakugan no Shana: Season II,灼眼のシャナII –Second–,TV,Light novel,Geneon Universal Entertainment,School,J.C.Staff,24.0,24 min per ep,PG-13 - Teens 13 or older,7.7,131427.0,1120.0,362.0,1088.0,Fridays at 01:25 (JST),Fall,2007
741,954,2420,B-Legend! Battle B-Daman,Battle B-Daman,B-伝説(ビーレジェンド)! バトルビーダマン,TV,Manga,TV Tokyo,Kids,Nippon Animation,52.0,22 min per ep,PG - Children,6.35,4796.0,6401.0,4174.0,24.0,Mondays at 18:00 (JST),Winter,2004
742,955,2426,Dragonaut: The Resonance,Dragonaut - The Resonance,ドラゴノーツ-ザ・レソナンス-,TV,Original,Nihon Ad Systems,Drama,Gonzo,25.0,25 min per ep,R+ - Mild Nudity,6.75,25063.0,4663.0,1522.0,102.0,Unknown,Fall,2007
743,957,2432,Densetsu no Yuusha Da Garn,Legendary hero Da Ghan,伝説の勇者ダ・ガーン,TV,Unknown,Nagoya Broadcasting Network,Shounen,Sunrise,46.0,24 min per ep,PG-13 - Teens 13 or older,7.25,586.0,2654.0,6722.0,13.0,Unknown,Winter,1992
744,961,2440,Dondon Domeru to Ron,Wowser,どんどんドメルとロン,TV,Original,TV Tokyo,Kids,Telescreen BV,52.0,25 min per ep,G - All Ages,6.78,318.0,4506.0,9522.0,1.0,Mondays at 17:00 (JST),Spring,1988
745,962,2441,Geragera Boes Monogatari,Ox Tales,げらげらブース物語,TV,Other,TV Tokyo,Kids,Telescreen BV,52.0,24 min per ep,G - All Ages,7.12,583.0,3192.0,8591.0,7.0,Unknown,Spring,1987
747,965,2444,Madou King Granzort,Mado King Granzort,魔動王グランゾート,TV,Original,Atelier Musa,Action,Sunrise,41.0,24 min per ep,G - All Ages,7.29,370.0,2515.0,8386.0,14.0,Unknown,Spring,1989
748,969,2449,Barbapapa,Barbapapa,バーバパパ,TV,Picture book,KSS,Fantasy,Topcraft,45.0,5 min per ep,PG - Children,6.2,783.0,7017.0,7635.0,4.0,Unknown,Fall,1974
749,970,2450,Barbapapa Sekai wo Mawaru,Barbapapa Around the World,バーバパパ　世界をまわる,TV,Picture book,Kodansha,Adventure,Studio Pierrot,50.0,5 min per ep,G - All Ages,6.03,251.0,7612.0,9526.0,1.0,Fridays at 16:50 (JST),Summer,1999
750,971,2451,Arabian Nights: Sindbad no Bouken (TV),Arabian Night Sindbat Adventure,アラビアンナイト シンドバットの冒険,TV,Book,Studio Jack,Romance,Nippon Animation,52.0,25 min per ep,G - All Ages,7.26,1952.0,2607.0,5851.0,16.0,Wednesdays at 19:00 (JST),Fall,1975
751,972,2452,Oz no Mahoutsukai (1986),The Wonderful Wizard of Oz,オズの魔法使い,TV,Book,TV Tokyo,Fantasy,Panmedia,52.0,25 min per ep,G - All Ages,6.82,578.0,4346.0,8165.0,8.0,Unknown,Fall,1986
752,974,2455,Ie Naki Ko Remy,Sans Famille,家なき子レミ,TV,Novel,Fuji TV,Drama,Nippon Animation,23.0,23 min per ep,G - All Ages,8.02,4793.0,542.0,3866.0,56.0,Sundays at 19:30 (JST),Fall,1996
753,976,2462,Chiisana Viking Vickie,Small buffet bicke,小さなバイキングビッケ,TV,Unknown,Mushi Production,Kids,Nippon Animation,78.0,24 min per ep,G - All Ages,6.61,958.0,5292.0,7394.0,4.0,Unknown,Spring,1974
754,980,2505,Sakigake!! Otokojuku,Charge!! Men's Private School,魁!!男塾,TV,Manga,Lantis,School,Toei Animation,34.0,24 min per ep,R - 17+ (violence & profanity),7.42,1620.0,1979.0,4593.0,65.0,Mondays at 19:00 (JST),Winter,1988
756,982,2512,Ohayou! Spank,good morning!Spank,おはよう！スパンク,TV,Manga,Asahi Broadcasting,Comedy,TMS Entertainment,63.0,25 min per ep,G - All Ages,6.69,674.0,4932.0,8148.0,1.0,Unknown,Spring,1981
757,983,2513,Daisougen no Chiisana Tenshi: Bush Baby,"Bush Baby, Little Angel of the Great Plains",大草原の小さな天使　ブッシュベイビー,TV,Novel,Fuji TV,Adventure,Nippon Animation,40.0,24 min per ep,G - All Ages,7.12,381.0,3186.0,8109.0,4.0,Sundays at 19:30 (JST),Winter,1992
